,Comment,Likes,Time,Subjectivity,Polarity,Analysis
0,"Thanks for this tutorial. Awesome explanations perfect for beginners. Particularly loved the exercises, as they ensure that the concepts really stick with us because we put them into practice. I'm personally learning coding to create apps that help people learn biology and maths (my true areas of expertise). Would also love to understand machine learning as I believe that it can have a big impact on our world and our understanding of science.",853,10 months ago,0.5388888888888889,0.43888888888888894,Positive
1,I'm learning so much more in this 6 hour YT video than on a whole four months university course on python. You show just the essentials in such a lucid manner that it's easy to follow and integrate everything you cover. Thank you so much for putting this out for free Mosh,32,5 days ago,0.5388888888888889,0.2888888888888889,Positive
2,"OMG IM FINALLY STARTING TO GET PYTHON. 

I watched the first 1.5 hrs and it summed up everything I’ve learned in the first 2 months of my university course. The way Mosh explains it was so easy to understand. I feel hopeful I’ll pass this class now.",364,1 month ago (edited),0.4,0.23333333333333334,Positive
3,"This guy is a legend. He is teaching python for free. 
Respect him.
Thank you sir!!!!",314,1 month ago,0.8,0.9765625,Positive
4,I'm 13 and i jst realized programming is the future so thts why I'm learning python and this guy here is helping me big time. appreciate your effort and I'm going to watch the rest of the video.,121,10 days ago,0.1125,0.0,Neutral
5,This course has literally changed my life. 2 years ago i started learning python from this course and now i am a software engineer intern at a great startup. Thanks Mosh♥️,1.5K,4 months ago,0.475,0.5,Positive
6,"This video is honestly a life saver. I've got a 3 hour coding examination in 3 weeks and I need to relearn everything I learnt a few months ago. Honestly man, this is the best Python tutorial on YouTube. Thank you bro.",54,2 weeks ago,0.5499999999999999,0.5,Positive
7,"Exercises -
- Variables (17:30)
- Receiving Input (21:05)
- Type Conversion (28:05)
- If Statements (01:04:45)
- Comparison Operators (01:14:00)
- Weight Converter Program (01:16:45)
- Building A Guessing Game (01:24:15)
- Building The Car Game (01:31:00)
- For Loops (01:45:40)
- Nested Loops (01:51:35)
- Lists (01:59:35)
- List Methods (02:12:05)

(To be continued)",89,1 month ago (edited),0.4,-0.4,Negative
8,"Everything about this video is perfect, it makes beginners see python from an optimistic angle. Each section of the tutorial richly packed and explicit. All I can say is thank you so much sir 🙌",31,1 month ago,0.65,0.525,Positive
9,"someone give this guy a medal, he's a legend",194,1 month ago,0.0,0.0,Neutral
10,"this guy, sat for 6 hours and talked about python, and then released it for free. legend",4.8K,9 months ago,0.8,0.4,Positive
