,text,start,duration
0,"Hi, my name is Mosh, and I'm going to be your instructor in this Python course.",0.0,4.0
1,"In this course, you're going to learn everything you need to get started programming in Python.",4.0,4.0
2,"Python is one of the most popular programming languages, and every day people use it to do",8.0,4.0
3,"cool things like automation, they use it in AI, as well as",12.0,4.0
4,building applications and websites like Instagram and Dropbox. So if you're looking,16.0,4.0
5,"for a job, Python is for you. In this course I'm going to teach you everything ",20.0,4.0
6,you need to get started with Python. We're going to talk about all the core concepts,24.0,4.0
7,"in Python, and then we're going to build three Python projects together.",28.0,4.0
8,Here's the first project we're going to build. We're going to learn how to create this beautiful website,32.0,4.0
9,for an imaginary grocery store. Here on the homepage we can see all,36.0,4.0
10,"of the products in the shop, and we also have an admin area for managing the",40.0,4.0
11,stock. We're going to build this using a popular Python framework called Django. ,44.0,4.0
12,"Now if you have never built a website before, don't worry, I will teach you everything from scratch. ",48.0,4.0
13,"You're also going to learn how to use Python in machine learning, or artificial intelligence. ",52.0,4.0
14,So you will learn how to write a Python programming that will predict,56.0,4.0
15,the music that people like based on their profile. Just like how YouTube,60.0,4.0
16,recommends videos based on the videos you have watched before. I will also show you ,64.0,4.0
17,python to automate boring repetitive tasks that waste your time. ,68.0,4.0
18,You will write a Python program that will process thousands of spreadsheets,72.0,4.0
19,in under a second. I've designed this Python course for anyone who wants to learn,76.0,4.0
20,"Python. If you're a beginner, don't worry, I will hold your hand through this entire course. ",80.0,4.0
21,"You're not too old or too young, and Python is super easy to learn. You can write your first",84.0,4.0
22,Python program in literally seconds. Plus I'm going to give you plenty,88.0,4.0
23,of exercises to help you build your confidence writing cool Python programs. ,92.0,4.0
24,"My name is Mosh, I'm a software engineer with two decades of experience ",96.0,4.0
25,and I've taught over 3 million people how to code. I'm super excited to be teaching you,100.0,4.0
26,Python in this course. So I hope you stick around and learn this beautiful ,104.0,4.0
27,powerful programming language. ,108.0,4.0
28,In this tutorial I'm going to show you how to download ,112.0,4.0
29,"and install Python on your computer. So the first thing I want you to do,",116.0,4.0
30,is open up your browser and head over to Python,120.0,4.0
31,".org. On this page click on downloads, ",124.0,4.0
32,"here you can see the latest version of Python currently, at the time of recording this video",128.0,4.0
33,the latest version is python 3.7.2. ,132.0,4.0
34,"Chances are in the future, when you are watching this tutorial, there is a newer ",136.0,4.0
35,"version of Python available, don't worry, all the materials you're going to learn in this course ",140.0,4.0
36,will apply to the latest version of Python as well. So let's go ahead,144.0,4.0
37,"and download Python 3, alright now, ",148.0,4.0
38,"look at your downloads folder, here, we should have Python 3 installer",152.0,4.0
39,"simply double click that, if you're on Windows ",156.0,4.0
40,"you're going to see this check box here, add Python to",160.0,4.0
41,"python, this is really important, make sure to tick this box, otherwise you're not going to be able to",164.0,4.0
42,"follow this tutorial. If you're on a Mac, ",168.0,4.0
43,"you're going to see an installer like this, with this setup wizard we're going to install Python 3",172.0,4.0
44,"on our computer. So simply click continue, and again, ",176.0,4.0
45,"and again, and agree with the license agreement, and ",180.0,4.0
46,"install it, this is going to take a few seconds so I'm going",184.0,4.0
47,to pause the recording. ,188.0,4.0
48,"Alright, we have successfully installed Python 3 on our computer. ",192.0,4.0
49,"Let's close this. Alright, next we need to install",196.0,4.0
50,"a code editor, we se a code editor to write our code, just like",200.0,4.0
51,"how we use Microsoft Word to write documents, we use a code editor to write",204.0,4.0
52,"code. Now there are so many code editors out there, the one that I'm going to show you in this",208.0,4.0
53,tutorial is PyCharm. That is one of the most popular code editors ,212.0,4.0
54,for writing Python code. You can get it from jetbrains.com,216.0,4.0
55,/pycharm. Now more accurately pycharm ,220.0,4.0
56,"is considered an IDE, which is short for integrated development",224.0,4.0
57,"environment. And that's basically a code editor on steroids, ",228.0,4.0
58,it has some additional features that makes it really easy to write code. So,232.0,4.0
59,let's go ahead and download PyCharm. Now here on the,236.0,4.0
60,"download page, you can see two versions of PyCharm, one is the professional addition ",240.0,4.0
61,which has additional features and you have to pay for them. The other is the,244.0,4.0
62,"community edition, that is absolutely free, and that's what we're going to use in this tutorial. ",248.0,4.0
63,"So, go ahead and download this as well.",252.0,4.0
64,"Now, once again look at your downloads folder, once again you should have pycharm ",256.0,4.0
65,"so double click this, now if you're",260.0,4.0
66,"in Windows you're going to see an installation wizard, simply click next, next, next",264.0,4.0
67,until you install pycharm. If you're on Mac you need to drag and drop this icon ,268.0,4.0
68,"onto the applications folder, so drag and drop, ",272.0,4.0
69,"alright, now let's double click this to run it, ",276.0,4.0
70,"the first time we run pycharm we're going to get this warning, because this is an application",280.0,4.0
71,"that we download from the internet. So let's go ahead and open it, ",284.0,4.0
72,"next you're going to see this dialogue box for importing some settings, leave this to",288.0,4.0
73,"do not import settings, it doesn't really matter. Okay,",292.0,4.0
74,"On this page, select I've never used PyCharm you can see some keyword",296.0,4.0
75,"shortcuts that might be useful in the future, just accept this, and down at the bottom, ",300.0,4.0
76,"click the next button. And then next again,",304.0,4.0
77,"one more time, and then finally start using pycharm. ",308.0,4.0
78,So here's the main page of PyCharm every time you open,312.0,4.0
79,"it, click on create new project, ",316.0,4.0
80,"this is the location for our project, let's call our project Hello",320.0,4.0
81,"World. Now before click and create, expand ",324.0,4.0
82,"this item here, make sure that base interpreter is set to Python",328.0,4.0
83,3. Python interpreter is basically a program ,332.0,4.0
84,"that knows how to execute Python code, it will know how to interpret ",336.0,4.0
85,or translate Python instructions into instructions a computer can understand. ,340.0,4.0
86,"Now, Mac computers, by default come with an older",344.0,4.0
87,"installation of Python, that's Python 2, it's considered legacy",348.0,4.0
88,which means it's no longer maintained or supported. So earlier we downloaded ,352.0,4.0
89,"Python 3, make sure that this is set to Python 3, if not",356.0,4.0
90,"from this list, select Python 3.7. ",360.0,4.0
91,"Alright, now let's go ahead and create this project,",364.0,4.0
92,Now here right click on,372.0,4.0
93,Hello World folder and go to new ,376.0,4.0
94,"Python file, call this file app.py. ",380.0,4.0
95,"So by convention, all Python files should have this",384.0,4.0
96,"py extension. Alright, let's go ahead,",388.0,4.0
97,now let's collapse this project panel by clicking here and write our,392.0,4.0
98,"first python program. Simply type print, pr",396.0,4.0
99,"int, all in lowercase, open and close parenthesis, ",400.0,4.0
100,"and inside these parenthesis, add quotations we",404.0,4.0
101,"can either use single quotes or double quotes, now",408.0,4.0
102,"in between the codes write your name. I am Mosh Hamedani, so",412.0,4.0
103,"here, so this is your first Python programming. With these piece of code",416.0,4.0
104,"you can print your name on the screen. Now to run this, go",420.0,4.0
105,"on the top, under the run menu, click run, ",424.0,4.0
106,"also note that there is a shortcut associated with this command, when",428.0,4.0
107,I program I always use shortcuts because that increases my productivity. ,432.0,4.0
108,"So here on a Mac computer, the shortcut is control, option, and",436.0,4.0
109,"R. On Windows it's different. So let's do that, now",440.0,4.0
110,"it's asking where you want to run this, click on app, ",444.0,4.0
111,"down below, you should see this little terminal window, this",448.0,4.0
112,"is a little window into our program, so here you can see our results for",452.0,4.0
113,"output for our program. In the future as you learn more Python, you'll be",456.0,4.0
114,"able to build applications that have a graphical user interface, or gooey. ",460.0,4.0
115,"That is a little bit complicated, so for now we're going to use this little",464.0,4.0
116,terminal window to see the results of our program. So as you can see my name is,468.0,4.0
117,"printed here, now as you print code, this window might get in the way so",472.0,4.0
118,always resize it or minimize itty putting this,476.0,4.0
119,"icon here, so this was our first python program. Now",480.0,4.0
120,"if you didn't see the result I showed you in this video, use the comment box below and",484.0,4.0
121,"tell me what error you encountered, I'll do my best to help you move forward. ",488.0,4.0
122,"In this Python tutorial, we're gong to take this program to the next level and make it more interesting. ",496.0,4.0
123,So I'm going to show you how to draw a dog hair. Now as part of,500.0,4.0
124,this tutorial you will learn how Python code gets executed and you will also learn,504.0,4.0
125,"about a few programming terms. So press enter, and ",508.0,4.0
126,"on line 2 write another print statement, so print, open and close",512.0,4.0
127,"parenthesis, add a quotation, now here you want to draw a dog. ",516.0,4.0
128,"So, add an o, that is the head of our dog, followed by",520.0,4.0
129,4 hyphens. So this is the body. ,524.0,4.0
130,"alright, now one more time another print statement with",528.0,4.0
131,"quotations, now we need to draw the legs. So add a space. ",532.0,4.0
132,"Follow it by 4 vertical bars. So, like this, ",536.0,4.0
133,so here's a little imaginary dot. Now let's ,540.0,4.0
134,"run this program and see what we get. So on the top right corner you should see this play button, ",544.0,4.0
135,"click that, there you go, so we have our name and ",548.0,4.0
136,right below that we have our imaginary dog. Now what you need to understand ,552.0,4.0
137,"here, is that our python code gets executed line by line",556.0,4.0
138,from the top. So earlier I told you about Python interpreter ,560.0,4.0
139,that is the program that knows how to translate or interpret ,564.0,4.0
140,our Python code into instructions that a computer can understand.,568.0,4.0
141,"So when we run this program by clicking this program here, ",572.0,4.0
142,python interpreter starts executing or running our program ,576.0,4.0
143,"line by line from the top. So first it executes line 1, ",580.0,4.0
